Date,Rank,Title,Artist
2023-01-07,1,All I Want For Christmas Is You,Mariah Carey
2023-01-07,2,Rockin' Around The Christmas Tree,Brenda Lee
2023-01-07,3,Jingle Bell Rock,Bobby Helms
2023-01-07,4,Last Christmas,Wham!
2023-01-07,5,A Holly Jolly Christmas,Burl Ives
2023-01-07,6,It's The Most Wonderful Time Of The Year,Andy Williams
2023-01-07,7,Feliz Navidad,Jose Feliciano
2023-01-07,8,Anti-Hero,Taylor Swift
2023-01-07,9,The Christmas Song (Merry Christmas To You),Nat King Cole
2023-01-07,10,Unholy,Sam Smith & Kim Petras
2023-01-07,11,Kill Bill,SZA
2023-01-07,12,Santa Tell Me,Ariana Grande
2023-01-07,13,Sleigh Ride,The Ronettes
2023-01-07,14,Underneath The Tree,Kelly Clarkson
2023-01-07,15,Christmas (Baby Please Come Home),Darlene Love
2023-01-07,16,White Christmas,Bing Crosby
2023-01-07,17,Deck The Halls,Nat King Cole
2023-01-07,18,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2023-01-07,19,I'm Good (Blue),David Guetta & Bebe Rexha
2023-01-07,20,Jingle Bells,Frank Sinatra
2023-01-07,21,Rich Flex,Drake & 21 Savage
2023-01-07,22,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2023-01-07,23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2023-01-07,24,Blue Christmas,Elvis Presley
2023-01-07,25,It's Beginning To Look A Lot Like Christmas,Michael Buble
2023-01-07,26,Die For You,The Weeknd & Ariana Grande
2023-01-07,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2023-01-07,28,Rudolph The Red-Nosed Reindeer,Gene Autry
2023-01-07,29,Little Saint Nick,The Beach Boys
2023-01-07,30,Bad Habit,Steve Lacy
2023-01-07,31,As It Was,Harry Styles
2023-01-07,32,Run Rudolph Run,Chuck Berry
2023-01-07,33,Wonderful Christmastime,Paul McCartney
2023-01-07,34,Santa Claus Is Comin' To Town,Jackson 5
2023-01-07,35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2023-01-07,36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
2023-01-07,37,This Christmas,Donny Hathaway
2023-01-07,38,Cuff It,Beyonce
2023-01-07,39,Under The Influence,Chris Brown
2023-01-07,40,Happy Holiday / The Holiday Season,Andy Williams
2023-01-07,41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
2023-01-07,42,Something In The Orange,Zach Bryan
2023-01-07,43,Please Come Home For Christmas,Eagles
2023-01-07,44,Merry Christmas,Ed Sheeran & Elton John
2023-01-07,45,Made You Look,Meghan Trainor
2023-01-07,46,You Proof,Morgan Wallen
2023-01-07,47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
2023-01-07,48,Have Yourself A Merry Little Christmas,Michael Buble
2023-01-07,49,Golden Hour,JVKE
2023-01-07,50,Christmastime Is Here,Vince Guaraldi Trio
2023-01-07,51,Super Freaky Girl,Nicki Minaj
2023-01-07,52,Shirt,SZA
2023-01-07,53,Just Wanna Rock,Lil Uzi Vert
2023-01-07,54,Tomorrow 2,GloRilla & Cardi B
2023-01-07,55,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
2023-01-07,56,Thank God,Kane Brown With Katelyn Brown
2023-01-07,57,Lift Me Up,Rihanna
2023-01-07,58,Until I Found You,Stephen Sanchez
2023-01-07,59,Nobody Gets Me,SZA
2023-01-07,60,Someday At Christmas,Lizzo
2023-01-07,61,Rock And A Hard Place,Bailey Zimmerman
2023-01-07,62,Gato de Noche,Nengo Flow & Bad Bunny
2023-01-07,63,Victoria's Secret,Jax
2023-01-07,64,Lavender Haze,Taylor Swift
2023-01-07,65,Low,SZA
2023-01-07,66,Son Of A Sinner,Jelly Roll
2023-01-07,67,Blind,SZA
2023-01-07,68,What My World Spins Around,Jordan Davis
2023-01-07,69,Wait In The Truck,HARDY Featuring Lainey Wilson
2023-01-07,70,"Going, Going, Gone",Luke Combs
2023-01-07,71,Heart Like A Truck,Lainey Wilson
2023-01-07,72,Last Christmas,Lauren Spencer Smith
2023-01-07,73,Blue Christmas,Kane Brown
2023-01-07,74,Snooze,SZA
2023-01-07,75,Escapism,RAYE Featuring 070 Shake
2023-01-07,76,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande
2023-01-07,77,Love Language,SZA
2023-01-07,78,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
2023-01-07,79,Calm Down,Rema & Selena Gomez
2023-01-07,80,Whiskey On You,Nate Smith
2023-01-07,81,Seek & Destroy,SZA
2023-01-07,82,Hold Me Closer,Elton John & Britney Spears
2023-01-07,83,Que Vuelvas,Carin Leon X Grupo Frontera
2023-01-07,84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
2023-01-07,85,Spin Bout U,Drake & 21 Savage
2023-01-07,86,Used,SZA Featuring Don Toliver
2023-01-07,87,Romantic Homicide,d4vd
2023-01-07,88,Circo Loco,Drake & 21 Savage
2023-01-07,89,Ghost In The Machine,SZA Featuring Phoebe Bridgers
2023-01-07,90,Down Home,Jimmie Allen
2023-01-07,91,Bebe Dame,Fuerza Regida X Grupo Frontera
2023-01-07,92,Special,SZA
2023-01-07,93,No Se Va,Grupo Frontera
2023-01-07,94,Kid On Christmas,Pentatonix Featuring Meghan Trainor
2023-01-07,95,One Thing At A Time,Morgan Wallen
2023-01-07,96,Pick Me Up,Gabby Barrett
2023-01-07,97,SOS,SZA
2023-01-07,98,Forget Me,Lewis Capaldi
2023-01-07,99,La Jumpa,Arcangel & Bad Bunny
2023-01-07,100,Gone Girl,SZA
2023-01-14,1,Anti-Hero,Taylor Swift
2023-01-14,2,Unholy,Sam Smith & Kim Petras
2023-01-14,3,Kill Bill,SZA
2023-01-14,4,I'm Good (Blue),David Guetta & Bebe Rexha
2023-01-14,5,Rich Flex,Drake & 21 Savage
2023-01-14,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2023-01-14,7,As It Was,Harry Styles
2023-01-14,8,Die For You,The Weeknd & Ariana Grande
2023-01-14,9,Bad Habit,Steve Lacy
2023-01-14,10,Cuff It,Beyonce
2023-01-14,11,Something In The Orange,Zach Bryan
2023-01-14,12,Made You Look,Meghan Trainor
2023-01-14,13,You Proof,Morgan Wallen
2023-01-14,14,Under The Influence,Chris Brown
2023-01-14,15,Golden Hour,JVKE
2023-01-14,16,Just Wanna Rock,Lil Uzi Vert
2023-01-14,17,Thank God,Kane Brown With Katelyn Brown
2023-01-14,18,Super Freaky Girl,Nicki Minaj
2023-01-14,19,I Like You (A Happier Song),Post Malone Featuring Doja Cat
2023-01-14,20,Rock And A Hard Place,Bailey Zimmerman
2023-01-14,21,Tomorrow 2,GloRilla & Cardi B
2023-01-14,22,Wasted On You,Morgan Wallen
2023-01-14,23,Shirt,SZA
2023-01-14,24,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
2023-01-14,25,Lift Me Up,Rihanna
2023-01-14,26,About Damn Time,Lizzo
2023-01-14,27,Until I Found You,Stephen Sanchez
2023-01-14,28,Wait For U,Future Featuring Drake & Tems
2023-01-14,29,Sunroof,Nicky Youre & dazy
2023-01-14,30,I Ain't Worried,OneRepublic
2023-01-14,31,"Going, Going, Gone",Luke Combs
2023-01-14,32,Vegas,Doja Cat
2023-01-14,33,Thought You Should Know,Morgan Wallen
2023-01-14,34,The Kind Of Love We Make,Luke Combs
2023-01-14,35,She Had Me At Heads Carolina,Cole Swindell
2023-01-14,36,Son Of A Sinner,Jelly Roll
2023-01-14,37,Lavender Haze,Taylor Swift
2023-01-14,38,Wait In The Truck,HARDY Featuring Lainey Wilson
2023-01-14,39,Heart Like A Truck,Lainey Wilson
2023-01-14,40,Victoria's Secret,Jax
2023-01-14,41,Unstoppable,Sia
2023-01-14,42,Nobody Gets Me,SZA
2023-01-14,43,Escapism,RAYE Featuring 070 Shake
2023-01-14,44,What My World Spins Around,Jordan Davis
2023-01-14,45,Low,SZA
2023-01-14,46,Calm Down,Rema & Selena Gomez
2023-01-14,47,Whiskey On You,Nate Smith
2023-01-14,48,Fall In Love,Bailey Zimmerman
2023-01-14,49,Jimmy Cooks,Drake Featuring 21 Savage
2023-01-14,50,Bebe Dame,Fuerza Regida X Grupo Frontera
2023-01-14,51,Blind,SZA
